id,sale_price,bedrooms,bathrooms,metersq_living,metersq_lot,floors,waterfront,view,condition,grade,metersq_above,metersq_basement,yr_built,block_no,location1,location2,metersq_built,metersq_land
2,442573,3,1.75,1780,7567,1,0,0,3,7,1290,490,1980,34,0.7314,-0.225,1910,8645
3,800000,4,2.25,2510,9963,1,0,0,4,9,2200,310,1967,5,0.5973,-0.177,3110,9963
4,205000,3,0.75,1080,5025,1,0,0,3,5,1080,0,1948,146,0.4936,-0.335,1370,6000
5,353000,4,1.5,1100,9600,1,0,0,4,6,1100,0,1960,33,0.7,-0.175,1100,9630
6,230000,3,1,1380,10112,1,0,0,4,7,940,440,1963,23,0.3196,-0.351,1240,10112
7,765000,4,3,4040,25752,2,0,0,3,10,4040,0,2000,38,0.4579,-0.068,3230,22247
8,870000,4,1.75,2370,5000,2,0,2,3,8,1770,600,1919,103,0.6779,-0.357,2100,4550
9,460000,3,2.25,2350,10450,1,0,0,3,8,1390,960,1977,28,0.7433,-0.259,2250,10450
10,645000,4,3,2250,10696,2,0,0,3,8,2250,0,1996,6,0.5715,-0.128,2340,13286
11,480000,3,1.5,2100,67269,1,0,0,4,7,1220,880,1949,28,0.7592,-0.23,1610,15999
12,325000,3,2.25,1480,97138,2,0,0,3,7,1480,0,1984,10,0.3317,0.073,1730,176418
13,690000,4,3,2780,6235,2,0,0,3,8,2780,0,2001,75,0.5976,-0.039,2670,4410
14,315000,4,2.75,2300,18360,1,0,0,4,7,1560,740,1979,58,0.4518,-0.16,1870,9588
15,724000,2,1,1560,5000,2,0,1,4,7,1560,0,1942,117,0.7006,-0.386,2620,5400
16,804000,4,3,2620,5060,2,0,0,3,9,2620,0,2005,116,0.5634,-0.394,900,5060
17,279000,3,2.25,2070,7800,1,0,0,3,7,1170,900,1964,3,0.3431,-0.305,1570,8400
18,509000,4,3,2600,9355,1,0,0,3,9,1840,760,1983,28,0.7446,-0.249,2250,7691
19,189650,2,1.75,1100,7600,1,0,0,3,6,1100,0,1980,198,0.4136,-0.318,1230,7350
20,401000,3,2.75,2020,9505,1,0,0,3,7,1260,760,1969,11,0.7399,-0.197,2080,11901
21,310000,3,3,1780,6771,1,0,0,3,7,1230,550,1990,106,0.5237,-0.353,1780,6771
22,627800,4,1.75,2010,12044,1,0,0,3,9,2010,0,1982,74,0.6446,-0.068,2200,11144
23,1.21E+06,5,4.25,4420,13497,2,0,0,3,11,3510,910,2000,59,0.5262,-0.143,4220,12015
24,383000,3,1.5,1340,7725,1,0,0,4,8,1340,0,1967,56,0.5389,-0.173,1990,7725
25,524000,2,2,1450,2272,1,0,0,4,6,750,700,1924,112,0.633,-0.282,2170,4370
26,225000,3,3,1750,7490,1,0,0,4,7,1180,570,1979,42,0.3746,-0.149,1570,7490
27,416286,3,3,1408,989,3,0,0,3,8,1408,0,2005,115,0.6856,-0.315,1408,1342
28,402500,3,1,990,10752,2,0,0,4,7,990,0,1929,133,0.7648,-0.35,1820,7600
29,580000,3,1.75,2040,81021,1,0,0,3,8,2040,0,1980,53,0.6536,-0.045,2260,39280
30,350000,3,3,2040,13590,2,0,0,3,8,2040,0,2009,42,0.3122,-0.04,1850,12485
31,840000,4,3,2360,9600,1,0,2,3,8,1630,730,1973,40,0.5889,-0.249,2140,6300
32,365000,3,1.75,2080,7800,1,0,0,5,7,1220,860,1955,166,0.4536,-0.355,1770,7860
33,353500,4,3,3250,4650,2,0,0,3,8,3250,0,2007,31,0.4004,-0.203,2960,4650
34,300000,3,1,1010,6300,1,0,0,3,7,1010,0,1957,133,0.7304,-0.352,1480,7480
35,450000,3,1.5,2330,11740,1,0,0,3,8,1330,1000,1954,155,0.7481,-0.292,2630,11740
36,667000,3,3,2510,3819,2,0,0,3,8,2510,0,2007,52,0.6987,-0.096,2520,3990
37,275000,3,1.75,1890,5000,1,0,0,3,7,1890,0,2003,92,0.3357,-0.175,2960,5421
38,436000,4,3,2495,5751,2,0,0,3,7,2495,0,2002,19,0.7243,0.043,2490,6300
39,275000,4,2.75,2060,7350,1,0,0,3,7,1210,850,1978,1,0.3424,-0.275,1940,7420
40,198000,4,1.75,2080,7200,1,0,0,4,7,1050,1030,1966,1,0.3385,-0.282,1500,7350
41,319900,4,2.75,2475,4000,2,0,0,3,7,2475,0,2014,2,0.3452,-0.21,2166,4000
